,,,,,,,,
Included,Year,Authors,Title,Cost,Avg. Cost / Instance Ex,One Time Cost,Case,Unit
FALSE,,"M Jin, C Dou, P Pan, M Wan, B Sun…",A Blockchain-Based IoT Workflow Management Approach,FALSE,,,,
TRUE,,"H Nagano, T Shimosawa, A Shimamura…",RELIABLE ARCHITECTURE OF CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM ON BLOCKCHAIN.,FALSE,,,,
FALSE,,OL Pintado,Challenges of Blockchain-Based Collaborative Business Processes: An Overview of the Caterpillar System,FALSE,,,,
FALSE,,"MS Rahman, I Khalil, A Bouras",A Framework for Modelling Blockchain based Supply Chain Management System to ensure soundness of Smart Contract Workflow,FALSE,,,,
FALSE,,E Pedercini,The impact of blockchain and distributed ledger technologies on business processes. An analysis of implementations and use cases in different sectors,FALSE,,,,
FALSE,,"M Jurgelaitis, R Butkienė, E Vaičiukynas…",Modelling principles for blockchain-based implementation of business or scientific processes,FALSE,,,,
TRUE,,"A Brahem, N Messai, Y Sam, S Bhiri…",Running transactional business processes with blockchain's smart contracts,FALSE,,,,
FALSE,,J Köpke,Towards Modeling Privity and Enforceability Requirements for BPM based Smart Contracts,FALSE,,,,
FALSE,,"V Vasiuta, M Buniak",Blockchain technology in the workflow system of higher education institutions,FALSE,,,,
FALSE,,"M Kherbouche, G Pisoni, B Molnár","Model to Program and Blockchain Approaches for Business Processes and Workflows in Finance. Appl. Syst. Innov. 2022, 1, 0",FALSE,,,,
FALSE,,"J Evermann, H Kim",SMaRt Blockchain Distributed Workflow Management,FALSE,,,,
FALSE,,"F Corradini, A Marcelletti, A Morichetta, A Polini, B Re…",ChorChain: A Model-Driven Framework for Choreography-Based Systems Using Blockchain,FALSE,,,,
FALSE,,"DV Lyridis, GO Andreadis, C Papaleonidas, V Tsiampa",A NOVEL METHODOLOGY USING BPM TO ASSESS THE IMPLEMENTATION OF BLOCKCHAIN IN THE MIDSTREAM LNG SUPPLY CHAIN,FALSE,,,,
FALSE,,"D Aloini, E Benevento, A Stefanini…",Blockchain-Driven Process Innovation in Healthcare Ecosystems: a Business Process Management Capabilities Analysis,FALSE,,,,
FALSE,,"V Wattana, XL Da, B Zhuming…",Correction to: Blockchain-based business process management (BPM) framework for service composition in industry 4.0,FALSE,,,,
FALSE,,M Ramachandran,Application of Business Process Modelling and Blockchain Technology for Financial Cloud,FALSE,,,,
TRUE,,"H Nagano, T Shimosawa, A Shimamura, N Komoda",BLOCKCHAIN BASED CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM,FALSE,,,,
FALSE,,M La Rosa,The Rise of Enforceable Business Processes from the Hashes of Blockchain-Based Smart Contracts,FALSE,,,,
FALSE,,"S MAHGOUB, R ALMOHAMMADI, M ALDRAMLEY",ANOVEL FRAMEWORK FOR BLOCKCHAIN ENABLED BUSINESS PROCESS,FALSE,,,,
FALSE,,P Alvina,Blockchain Technology Applications in the Business Processes of Logistics Enterprises: A study to explore improvements in Logistics Services Quality (LSQ) …,FALSE,,,,
FALSE,,B van Rossum,A blockchain-based business process to securitise mortgages,FALSE,,,,
FALSE,,M Melchiori,A Blockchain-Based Approach for Trust Management in Collaborative Business Processes,FALSE,,,,
FALSE,,V Pungpapong,Blockchain and Internet of Things for Modern Business Process in Digital Economy–The State of The Art,FALSE,,,,
FALSE,,S Kolhe,Blockchain Based Smart Contracts for Business Process Automation,FALSE,,,,
FALSE,,"S Chehbi-Gamoura, R Derrouiche, HI Koruca",Joining the Blockchain to Big Data for Intelligent Business Process Management,FALSE,,,,
FALSE,,"P Rimba, AB Tran, I Weber, M Staples…",Correction to: Quantifying the Cost of Distrust: Comparing Blockchain and Cloud Services for Business Process Execution,FALSE,,,,
FALSE,,"A Meironke, T Seyffarth, J Damarowsky",Business Process Compliance and Blockchain: How Does the Ethereum Blockchain Address Challenges in the Field of Business Process Compliance?,FALSE,,,,
FALSE,,F Pasqua,A simulation-based and data-driven framework for enabling the analysis and design of business processes based on blockchain and smart contracts solutions,FALSE,,,,
FALSE,,"S Ushnish, K Henry",BUSINESS PROCESS TRANSFORMATION IN NATURAL RESOURCES DEVELOPMENT USING BLOCKCHAIN: INDIGENOUS ENTREPRENEURSHIP …,FALSE,,,,
FALSE,,G Meroni,Trusted artifact-driven monitoring of business processes using blockchains,FALSE,,,,
FALSE,,R Collet,Smart Contracts: The Use of the Blockchain Technology in Trade Finance: What would be the impact of the Blockchain's implementation regarding the handling of …,FALSE,,,,
FALSE,,C Prybila,""" Runtime Verification for Business Processes utilizing the Blockchain""; Betreuer/in (nen): S. Schulte; Institute of Information Systems, Distributed Systems Group, 2016; …",FALSE,,,,
FALSE,,S Waller,Blockchains–achieving consensus in oil and gas business processes,FALSE,,,,
FALSE,,"V dem Studium, I Studium, N dem Studium",Blockchain Technology in BPM (Wintersemester 2018/2019),FALSE,,,,
FALSE,,"V dem Studium, I Studium, N dem Studium",Process Choreographies on the Blockchain (Sommersemester 2019),FALSE,,,,
FALSE,,"V Ivković, I Luković",An Approach to Validation of Business-Oriented Smart Contracts Based on Process Mining,FALSE,,,,
FALSE,,"YI Koh, SH Han, J Park",A systematic process for generating new blockchain-service business model ideas,FALSE,,,,
FALSE,,"SB Rane, SV Thakker",Green procurement process model based on blockchain–IoT integrated architecture for a sustainable business,FALSE,,,,
FALSE,,C Schaubmeier,"Blockchain and Business Model Innovation: An analysis of opportunities and the innovation process/submitted by Christian Schaubmeier, BSc",FALSE,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,From Snowballing,,,,,,
,,,,,,,,
TRUE,2020,"P Klinger, F Bodendorf",Blockchain-based Cross-Organizational Execution Framework for Dynamic Integration of Process Collaborations,TRUE,0.18669,,Spare parts Order,ETH
TRUE,2018,"C Sturm, J Szalanczi, S Schönig, S Jablonski",A Lean Architecture for Blockchain Based Decentralized Process Execution ,TRUE,2660342,Does not reuse interpreter,Incident Management,Gas
TRUE,,"G Falazi, M Hahn, U Breitenbücher, F Leymann, V Yussupov",Process-Based Composition of Permissioned and Permissionless Blockchain Smart Contracts,FALSE,,,,
FALSE,,,An Architecture for Multi-chain Business Process Choreographies,,,,,
TRUE,2019,"C Sturm, J Scalanczi, S Schönig, S Jablonski ",A Blockchain-based and resource-aware process execution engine,TRUE,2660342,Does not reuse interpreter,Incident Management,Gas
TRUE,,"Amal Abid, Saoussen Cheikhrouhou, Mohamed Jmaiel",Modelling and Executing Time-Aware Processes in Trustless Blockchain Environment,FALSE,,,,
TRUE,,"T Osterland, T Rose, C Putschli",On the Implementation of Business Process Logic in DLT Nodes,FALSE,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,36,,,,,,
