,,,,,,,,,,,,,BPMS Components (For Blockchain Tasks),,,,,Resource Allocation,,,,,,,,On-Chain Integrity,,,,Evaluatiom Metrics,,,,,,,,
TRUE,8,prybilaRuntimeVerificationBusiness2020a,2020,"C Prybila, S Schulte, C Hochreiner, I Weber",Runtime verification for business processes utilizing the Bitcoin blockchain,Runtime verification for business processes utilizing the Bitcoin blockchain,,,Unclear,Bitcoin,BPMN Choreography diagram,"Task, X, +",TRUE,FALSE,FALSE,FALSE,FALSE,Direct,Run Time,1-1,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Open Sourced, but link no accessible anymore. Focus on on-chain aspects, off-chain verification approach is not described (so it is unclear whether it is manual or not, but in theorey any conformance checking method could be used). Strictly, speaking resource allocation is not enforced on-chain but off-chain.",TRUE
FALSE,,,2020,"X Xu, Y Chen, Y Yuan, T Huang, X Zhang…",Blockchain-based cloudlet management for multimedia workflow in mobile cloud computing,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,9,luIntegratedModelDriven2021a,2021,"Q Lu, A Binh Tran, I Weber, H O'Connor…",Integrated model‐driven engineering of blockchain applications for business processes and asset management,Integrated model‐driven engineering of blockchain applications for business processes and asset management,10.1002/spe.2931,,MDE,Ethereum Smart Contract,"BPMN Process diagram, UML Class diagram","Task, User Task, Script Task, X, +",TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Allows the modeling of Fungible and Non-Fungible Tokens (ERC-20/72 compatible) through a Registry component, which they introduce as a custom BPMN object. The registry supports access control but there is no resource allocation for tasks. They compare the cast gost with the mean and median gas cost of Google BigQuery's Ethereum dataset (they find theirs is about 8% higher). They include their evaluation setup which enables to replicate it. ",TRUE
TRUE,10,nakamuraInterorganizationalBusinessProcesses2018a,2018,"H Nakamura, K Miyamoto, M Kudo",Inter-organizational business processes managed by blockchain,Inter-organizational business processes managed by blockchain,10.1007/978-3-030-02922-7_1,,MDE,Hyperledger Chaincode,"BPMN Process diagram, Statechart","Swimlane, Task, X",TRUE,FALSE,FALSE,FALSE,FALSE,Unclear,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Transforms a BPMN like process model into statechart models, which are then interpreted. Cost is evaluated in terms of transitions requrie, that is, the size of the state transition system.",TRUE
TRUE,11,lopez-pintadoInterpretedExecutionBusiness2019a,2019,"O López-Pintado, M Dumas…",Interpreted execution of business process models on blockchain,Interpreted execution of business process models on blockchain,,Caterpillar,MDE,Ethereum Smart Contract,"BPMN Process diagram, Binding Policy","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, O, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Dynamic,Run Time,1-1,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Based on dynamic role binding Caterpillar. In principal model adaptaion at run time is possible, but it is neither guaranteed to be consistent nor does it enforce agreement, this is left as future work, which is done in the journal paper.",TRUE
FALSE,,,2020,"P Rimba, AB Tran, I Weber, M Staples…",Quantifying the cost of distrust: Comparing blockchain and cloud services for business process execution,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"W Chen, X Liang, J Li, H Qin, Y Mu…",Blockchain based provenance sharing of scientific workflows,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"S Tönnissen, F Teuteberg",Using blockchain technology for business processes in purchasing− concept and case study-based evidence,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"H Johng, D Kim, T Hill, L Chung",Using blockchain to enhance the trustworthiness of business processes: a goal-oriented approach,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"B Carminati, E Ferrari…",Blockchain as a platform for secure inter-organizational business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"F Guggenmos, J Lockl, A Rieger…",How to develop a GDPR-compliant blockchain solution for cross-organizational workflow management: evidence from the German asylum procedure,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"M Alles, GL Gray",“The first mile problem”: Deriving an endogenous demand for auditing in blockchain-based business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,12,corradiniEngineeringTrustableAuditable2022a,2022,"F Corradini, A Marcelletti, A Morichetta…",Engineering Trustable and Auditable Choreography-based Systems Using Blockchain,Engineering Trustable and Auditable Choreography-based Systems Using Blockchain,10.1145/3505225,ChorChain,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, X, +, Event-based Gateway, Message",TRUE,TRUE,TRUE,TRUE,TRUE,Role-based,Instantiation,1-1,TRUE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Extended Version of Corradini2020(A10). Extends the process evaluation (called auditing) capabilites. Performed a usability study based on interviews. Should be bundled with other work as this does not introduce anything new in our taxonomy.,TRUE
TRUE,13,lopez-pintadoControlledFlexibilityBlockchainbased2022a,2022,"O López-Pintado, M Dumas, L García-Bañuelos…",Controlled flexibility in blockchain-based collaborative business processes,Controlled flexibility in blockchain-based collaborative business processes,,Caterpillar,MDE,Ethereum Smart Contract,"BPMN Process diagram, Binding and Agreement Policies","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Dynamic,Run Time,1-1,TRUE,"Looseness, Adaptation",Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Journal paper and extension to dynamic role binding paper. Based on the compiled version of Caterpillar. ,TRUE
FALSE,,,2018,F Härer,Decentralized Business Process Modeling and Instance Tracking Secured by a Blockchain.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,14,mercenneBlockchainStudioRolebased2018a,2018,"L Mercenne, KL Brousmiche…",Blockchain studio: a role-based business workflows management system,Blockchain studio: a role-based business workflows management system,,Caterpillar,MDE,Ethereum Smart Contract,BPMN Process diagram,"Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Role-based,Run Time,,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Fork of Caterpillar to enable resource perspective. They only consider human resources and integrate their implementation only with user tasks. They compare productivity in terms of development time and cost in terms of gas with a manually created approach. ,TRUE
FALSE,,,2018,"J Mendling, I Weber, WVD Aalst, JV Brocke…",Blockchains for business process management-challenges and opportunities,,10.1145/3183367,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"A Ruggeri, M Fazio, A Celesti, M Villari",Blockchain-based healthcare workflows in federated hospital clouds,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,15,silvaDecentralizedEnforcementBusiness2019,2019,"D Silva, S Guerreiro, P Sousa",Decentralized enforcement of business process control using blockchain,Decentralized enforcement of business process control using blockchain,10.1007/978-3-030-06097-8_5,,Manual,Hyperledger Chaincode,Design and Engineering Methodology for Organizations,,FALSE,FALSE,FALSE,FALSE,TRUE,Role-based,Run Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Shows feasibility of a DEMO based approach.,TRUE
FALSE,,,2018,J Mendling,Towards blockchain support for business processes,,10.1007/978-3-319-94214-8_15,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"M Müller, N Ostern, M Rosemann",Silver bullet for all trust issues? blockchain-based trust patterns for collaborative business processes,,10.1007/978-3-030-58779-6_1,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"M Kherbouche, G Pisoni, B Molnár",Model to Program and Blockchain Approaches for Business Processes and Workflows in Finance,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,"G Fridgen, B Sablowsky, N Urbach",Implementation of a blockchain workflow management prototype,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"JL Tilbury, E de la Rey…",Business process models of blockchain and South African real estate transactions,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"YV Vertakova, TA Golovina, AV Polyanin",Synergy of blockchain technologies and “big data” in business process management of economic systems,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,16,adamsFlexibleIntegrationBlockchain2020a,2020,"M Adams, S Suriadi, A Kumar…",Flexible integration of blockchain with business process automation: A federated architecture,Flexible integration of blockchain with business process automation: A federated architecture,10.1007/978-3-030-58135-0_1,,MDE,Hyperledger Chaincode,YAWL,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"A connector to Fabric for YAWL, implemented as a YAWL custom service.",TRUE
FALSE,,,2022,"W Viriyasitavat, Z Bi, D Hoonsopon",Blockchain technologies for interoperation of business processes in smart supply chains,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2014,"P Snow, B Deery, J Lu, D Johnston…",Business processes secured by immutable audit trails on the blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,17,meroniTrustedArtifactDrivenProcess2019,2019,"G Meroni, P Plebani, F Vona",Trusted artifact-driven process monitoring of multi-party business processes with blockchain,Trusted artifact-driven process monitoring of multi-party business processes with blockchain,10.1007/978-3-030-30429-4_5,,Manual,Ethereum Smart Contract,Extended-Guard-Stage-Milestone,,FALSE,FALSE,FALSE,FALSE,TRUE,Direct,Instantiation,,FALSE,Looseness,,FALSE,FALSE,TRUE,TRUE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Includes a 5 block reorder buffer to tackle non-finality: transaction may be reordered, may arrive out of order. Thet include resource (smart object) addresses, but they do not enforce anything as state updates are only recorded.",TRUE
FALSE,,,2019,"M Li, GQ Huang",Blockchain-enabled workflow management system for fine-grained resource sharing in E-commerce logistics,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,18,alvesExploringBlockchainTechnology2020a,2020,"PHC Alves, R Paskin, IZ Frajhof, YR Miranda…",Exploring Blockchain Technology to Improve Multi-party Relationship in Business Process Management Systems.,Exploring Blockchain Technology to Improve Multi-party Relationship in Business Process Management Systems.,,,MDE,Hyperledger Chaincode,"BPMN Process diagram, DMN decision table",Unclear,TRUE,FALSE,FALSE,TRUE,FALSE,,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Integrates with Camund to persist process traces and data on the blockchain. Evaluates the feasability. ,TRUE
